THRUST
; AeroTech J315R
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 851g, propellant weight: 421g
0.00	0.00
0.02	73.95
0.07	295.03
0.12	333.06
0.17	340.18
0.22	348.96
0.27	357.64
0.32	362.97
0.37	362.75
0.42	369.98
0.47	371.09
0.52	373.11
0.58	373.76
0.62	374.10
0.68	376.88
0.72	373.76
0.78	372.76
0.82	372.65
0.87	368.09
0.93	369.76
0.97	365.98
1.03	366.06
1.08	359.75
1.13	356.52
1.18	352.86
1.23	349.07
1.28	343.40
1.33	335.40
1.38	329.17
1.43	322.50
1.48	315.60
1.53	308.93
1.58	304.32
1.63	299.48
1.68	293.03
1.73	287.02
1.78	282.57
1.83	277.90
1.88	274.01
1.93	270.56
1.98	265.67
2.03	262.67
2.08	255.94
2.13	245.32
2.18	240.65
2.23	235.98
2.28	236.65
2.33	218.63
2.38	132.11
2.43	75.17
2.48	44.59
2.53	27.69
2.58	8.79
-1.00
