THRUST
; AeroTech K185W
; converted from TMT test stand data 1998 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 1434g, propellant weight: 827g
0.00	0.00
0.02	146.78
0.07	271.41
0.12	318.81
0.17	316.85
0.22	308.33
0.27	304.57
0.32	305.80
0.37	303.61
0.42	304.83
0.47	308.52
0.52	309.61
0.57	315.47
0.62	319.52
0.67	324.81
0.72	326.29
0.77	329.48
0.82	331.91
0.87	335.05
0.92	335.77
0.97	337.05
1.02	338.29
1.07	340.29
1.12	341.10
1.17	340.24
1.22	342.58
1.27	341.15
1.32	337.84
1.37	338.53
1.42	339.48
1.47	338.05
1.52	338.34
1.57	337.58
1.62	335.00
1.67	335.43
1.72	330.24
1.76	328.00
1.81	327.57
1.86	326.67
1.91	321.38
1.96	321.90
2.01	320.57
2.06	318.71
2.11	315.76
2.16	314.33
2.21	311.30
2.26	309.47
2.31	308.52
2.36	307.42
2.41	301.95
2.46	299.80
2.51	297.71
2.56	294.99
2.61	290.99
2.66	286.44
2.71	283.23
2.76	279.94
2.81	276.51
2.86	273.56
2.91	269.17
2.96	264.17
3.01	260.31
3.06	257.41
3.11	253.09
3.16	248.69
3.21	245.55
3.26	240.07
3.31	234.50
3.36	228.59
3.41	224.21
3.46	219.40
3.51	214.63
3.56	208.46
3.61	203.01
3.66	199.82
3.71	193.20
3.76	187.91
3.81	184.01
3.86	181.10
3.91	175.77
3.96	172.53
4.00	167.75
4.05	163.00
4.10	159.90
4.15	154.66
4.20	150.90
4.25	147.09
4.30	143.61
4.35	140.71
4.40	137.37
4.45	133.01
4.50	129.99
4.55	127.89
4.60	123.42
4.65	119.56
4.70	116.51
4.75	113.99
4.80	109.60
4.85	108.08
4.90	104.38
4.95	101.27
5.00	98.55
5.05	96.03
5.10	93.17
5.15	91.46
5.20	87.55
5.25	85.17
5.30	82.36
5.35	79.73
5.40	77.36
5.45	75.16
5.50	72.78
5.55	71.07
5.60	68.69
5.65	65.97
5.70	63.45
5.75	61.02
5.80	59.30
5.84	57.35
5.89	55.06
5.94	53.02
5.99	51.30
6.04	49.82
6.09	48.16
6.14	46.16
6.19	44.06
6.24	42.65
6.29	41.15
6.34	39.11
6.39	37.73
6.44	35.72
6.49	34.53
6.54	33.25
6.59	31.63
6.64	29.77
6.69	28.43
6.74	26.34
6.79	25.25
6.84	24.67
6.89	22.86
6.94	21.48
6.99	19.82
7.04	18.34
7.09	17.39
7.14	16.15
7.19	14.58
7.24	13.62
7.29	12.10
7.34	11.00
7.39	10.00
7.44	7.81
7.49	7.67
7.54	6.43
-1.00
