THRUST
; AeroTech J420R
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 650g, propellant weight: 345g
0.00	0.00
0.02	7.82
0.07	454.12
0.12	557.23
0.17	521.75
0.22	521.09
0.27	523.98
0.32	533.36
0.36	536.74
0.41	534.68
0.46	536.08
0.51	532.76
0.56	528.96
0.61	526.82
0.66	519.67
0.71	514.24
0.75	508.13
0.80	500.80
0.85	486.73
0.90	467.66
0.95	455.76
1.00	438.06
1.05	415.35
1.10	395.07
1.14	376.27
1.19	359.15
1.24	343.73
1.29	327.03
1.34	313.60
1.39	293.56
1.44	217.19
1.48	103.15
1.53	31.63
1.58	4.18
-1.00
